Product_name,Product_url,brand,Sale_price,MRP,Discount_percentage,Number_of_ratings,Number_of_reviews,Type_of_washing,UPC
SAMSUNG 6.5 kg Monsoon drying feature Fully Automatic Top Load Silver, https://www.flipkart.com/samsung-6-5-kg-monsoon-drying-feature-fully-automatic-top-load-silver/p/itme1ba4fde1563a?pid=WMNFV6ZYDFQFJGT5,SAMSUNG,14190,16800,15,69685,7029,Fully Automatic Top Load,WMNFV6ZYDFQFJGT5
LG 6.5 kg 5 Star Inverter Fully Automatic Top Load Silver, https://www.flipkart.com/lg-6-5-kg-5-star-inverter-fully-automatic-top-load-silver/p/itme4cacbedc1c8f?pid=WMNFZX5BMUYJMPRB,LG,15990,18490,13,12934,1207,Fully Automatic Top Load,WMNFZX5BMUYJMPRB
IFB 6 kg 5 Star Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/ifb-6-kg-5-star-fully-automatic-front-load-in-built-heater-white/p/itmehpcrfmzed87b?pid=WMNEHPCR5BJHXPRT,IFB,21490,23990,10,46828,5581,Fully Automatic Front Load,WMNEHPCR5BJHXPRT
"Haier 6.2 kg with Ariel Wash Feature Fully Automatic Top Load Brown, Grey", https://www.flipkart.com/haier-6-2-kg-ariel-wash-feature-fully-automatic-top-load-brown-grey/p/itmfg2h7psh2whjn?pid=WMNFG2H7HWJCUKAR,Haier,12190,17900,31,5012,548,Fully Automatic Top Load,WMNFG2H7HWJCUKAR
Whirlpool 6 kg Fully Automatic Top Load Grey, https://www.flipkart.com/whirlpool-6-kg-fully-automatic-top-load-grey/p/itmcb6f9bac28d1a?pid=WMNFYGG2RXGZGGFG,Whirlpool,12740,16800,24,769,66,Fully Automatic Top Load,WMNFYGG2RXGZGGFG
"Whirlpool 7 kg 5 Star,Turbo Scrub Technology Semi Automatic Top Load Grey", https://www.flipkart.com/whirlpool-7-kg-5-star-turbo-scrub-technology-semi-automatic-top-load-grey/p/itmc2358c606b038?pid=WMNFH8WMMYH8WVAQ,Whirlpool,9290,11250,17,33507,3643,Semi Automatic Top Load,WMNFH8WMMYH8WVAQ
SAMSUNG 6 kg 5 star Inverter Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/samsung-6-kg-5-star-inverter-fully-automatic-front-load-in-built-heater-white/p/itm2ee8237807ed7?pid=WMNFP6FWBB4AMHYJ,SAMSUNG,21990,26500,17,7001,879,Fully Automatic Front Load,WMNFP6FWBB4AMHYJ
Whirlpool 7 kg Fully Automatic Top Load Grey, https://www.flipkart.com/whirlpool-7-kg-fully-automatic-top-load-grey/p/itmda9428f9a44c8?pid=WMNFYGG2CZMZXG7S,Whirlpool,14490,18950,23,769,66,Fully Automatic Top Load,WMNFYGG2CZMZXG7S
IFB 8 kg 5 Star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/ifb-8-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itmfb29mz7fw8mzf?pid=WMNFB29MBFKQKUG6,IFB,34990,40990,14,14514,1700,Fully Automatic Front Load,WMNFB29MBFKQKUG6
ONIDA 6.2 kg Fully Automatic Top Load Grey, https://www.flipkart.com/onida-6-2-kg-fully-automatic-top-load-grey/p/itmfd4jcbym9btxx?pid=WMNFD4JCWJEYZF7U,ONIDA,10990,19990,45,33034,3945,Fully Automatic Top Load,WMNFD4JCWJEYZF7U
"LG 7 kg Semi Automatic Top Load Maroon, White", https://www.flipkart.com/lg-7-kg-semi-automatic-top-load-maroon-white/p/itm1db0cdc5a8605?pid=WMNFJKR8PKXQMJCG,LG,10790,13590,20,11891,1161,Semi Automatic Top Load,WMNFJKR8PKXQMJCG
"MarQ By Flipkart 6 kg 5 Star Rating Semi Automatic Top Load White, Maroon", https://www.flipkart.com/marq-flipkart-6-kg-5-star-rating-semi-automatic-top-load-white-maroon/p/itm125a12d8f3fef?pid=WMNFMKPKZYYJAQWD,MarQ,6990,10010,30,39541,4882,Semi Automatic Top Load,WMNFMKPKZYYJAQWD
"Whirlpool 7.5 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey", https://www.flipkart.com/whirlpool-7-5-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itmfef996hqssd5f?pid=WMNFEF995ZHZVYYM,Whirlpool,16490,20550,19,9601,1007,Fully Automatic Top Load,WMNFEF995ZHZVYYM
"Iffalcon 8 kg Energy Efficient, Auto Error Diagnosis Fully Automatic Front Load with In-built Heater W...", https://www.flipkart.com/iffalcon-8-kg-energy-efficient-auto-error-diagnosis-fully-automatic-front-load-in-built-heater-white/p/itm3d0202a38fce3?pid=WMNFV7VVCZTAKFAN,Iffalcon,19990,36990,45,144,53,Fully Automatic Front Load,WMNFV7VVCZTAKFAN
"LG 7 kg 4 Star Semi Automatic Top Load Grey, White", https://www.flipkart.com/lg-7-kg-4-star-semi-automatic-top-load-grey-white/p/itm32d84fc4a61c9?pid=WMNFKRJRJCJGJJ2A,LG,11290,13490,16,11891,1161,Semi Automatic Top Load,WMNFKRJRJCJGJJ2A
IFB 6 kg 5 Star Fully Automatic Front Load with In-built Heater Silver, https://www.flipkart.com/ifb-6-kg-5-star-fully-automatic-front-load-in-built-heater-silver/p/itmewfs4bdqjd8gd?pid=WMNEWFS4SHWDPGEA,IFB,22800,25290,9,46828,5581,Fully Automatic Front Load,WMNEWFS4SHWDPGEA
"Sansui 8.5 kg 5 Star Semi Automatic Top Load Red, White", https://www.flipkart.com/sansui-8-5-kg-5-star-semi-automatic-top-load-red-white/p/itmf22e5717f1be4?pid=WMNFZKEH3TU8VH6V,Sansui,8490,14990,43,1841,215,Semi Automatic Top Load,WMNFZKEH3TU8VH6V
SAMSUNG 7.2 kg Semi Automatic Top Load White, https://www.flipkart.com/samsung-7-2-kg-semi-automatic-top-load-white/p/itmfeed5dxkkzmf5?pid=WMNDY9RWCWFQMADQ,SAMSUNG,9690,13100,26,14715,1575,Semi Automatic Top Load,WMNDY9RWCWFQMADQ
IFB 8 kg Fully Automatic Front Load with In-built Heater White, https://www.flipkart.com/ifb-8-kg-fully-automatic-front-load-in-built-heater-white/p/itme9d76aa300a0b?pid=WMNFVH9A5AWMGMVX,IFB,31990,37990,15,16127,2222,Fully Automatic Front Load,WMNFVH9A5AWMGMVX
SAMSUNG 6.2 kg with Monsoon Feature Fully Automatic Top Load Grey, https://www.flipkart.com/samsung-6-2-kg-monsoon-feature-fully-automatic-top-load-grey/p/itmewa2xkfkeq9cz?pid=WMNEWA2XKFSHQZZG,SAMSUNG,13290,15100,11,69685,7029,Fully Automatic Top Load,WMNEWA2XKFSHQZZG
"MarQ By Flipkart 6.5 kg 5 Star Rating Semi Automatic Top Load White, Blue", https://www.flipkart.com/marq-flipkart-6-5-kg-5-star-rating-semi-automatic-top-load-white-blue/p/itmcbadc3896d644?pid=WMNFMKPKXZUCHMZS,MarQ,7390,10490,29,39541,4882,Semi Automatic Top Load,WMNFMKPKXZUCHMZS
SAMSUNG 6.5 kg 5 Star Inverter Fully Automatic Top Load Grey, https://www.flipkart.com/samsung-6-5-kg-5-star-inverter-fully-automatic-top-load-grey/p/itm5814d96c6faa5?pid=WMNFPVW74ZSHUT5F,SAMSUNG,16590,21500,22,1266,145,Fully Automatic Top Load,WMNFPVW74ZSHUT5F
